Seq;CPF;Nome;Sexo;DataNasc;CodReg;CodMunic;CategProf;AnosEstudo;AnosEmprego;Sal‡rio;Altura (cm);Peso (kg);Fuma (1=sim, 0=n‹o)
62;912978570-70;Tatiana Moura Souza;F;03/10/65;100;101;B;13;18;2.737;161;70;1
63;582734971-27;Fernando Lopes;M;09/12/69;100;101;C;19;7;7.292;168;75;0
64;492038757-19;Gervásio B. Gatty;M;03/03/53;100;101;A;4;20;1.239;157;79;0
65;793360556-74;Marlene G. Pitanga;F;24/04/63;100;101;A;6;9;1.144;163;77;1
66;426104635-02;Heráclito Aroeira;M;18/07/77;100;101;B;12;4;1.926;161;91;1
67;957648089-28;Gervásio S. Mota;M;30/07/66;100;101;C;16;16;7.846;168;77;1
68;793806704-00;Alberto Miranda Gatty;M;20/07/76;100;101;B;12;7;2.100;173;62;1
69;090231409-23;Paula T. Arantes;F;03/02/85;100;101;B;12;2;1.866;153;71;1
70;128286497-17;Vera C. Lemos;F;26/08/90;100;101;C;18;0;6.964;161;55;0
71;266207089-78;Cícero Barbosa;Masc.;18/10/62;100;101;A;4;15;1.144;162;79;1
72;066401671-58;Glória Uema;F;07/10/59;100;101;B;13;16;2.347;162;74;1
73;270867410-27;Heráclito Sampaio;Masc.;13/02/64;100;101;D;15;17;5.753;165;73;1
74;012834563-20;Marina D. Coutinho;Fem.;24/10/59;100;101;A;4;9;1.149;169;79;1
75;;Letícia M. Morbick;F;18/03/74;100;101;B;12;6;2.079;172;73;1
76;640202762-69;Américo Leal;M;21/01/71;100;101;D;12;0;5.753;188;67;0
77;766592718-13;Américo P. Furkin;M;14/08/66;100;101;A;8;12;1.195;154;69;1
78;802257342-65;Paula F. Sampaio;F;22/01/82;100;101;C;16;1;8.058;159;63;1
79;458076041-72;Alexandre Sampaio;M;18/03/67;100;101;B;13;13;2.291;173;69;0
80;667351591-01;Eliana Pereira;F;01/12/77;100;101;A;4;9;1.148;160;70;1
81;670601504-04;Rogério Leal Holtz;M;16/02/66;100;101;C;16;11;7.162;172;86;0
82;195626453-12;Joana L. Mendes;F;26/02/61;100;101;A;6;21;1.131;158;78;1
83;669497988-65;Priscilla Torres Fozxy;F;18/04/69;100;101;C;16;8;7.862;147;57;0
84;168533705-89;Olívia L. Maia;F;12/04/73;100;101;A;4;14;1.105;172;62;0
85;374962611-14;Mariana Sampaio Sá;F;10/11/82;100;101;A;4;4;1.101;157;77;0
86;618894033-85;Alexandre G. Toguchi;M;15/05/62;100;101;A;4;9;1.121;153;75;0
87;709571092-96;Glória P. Guimarães;F;18/12/58;100;101;B;13;9;2.357;167;70;1
88;205885764-09;Mariane M. Ramos;F;18/02/83;100;101;A;4;0;1.023;174;61;0
89;606578455-90;Doralice Gouveia Zarin;F;11/05/66;100;101;A;4;10;1.157;159;67;1
90;875670966-84;Carla Trentti Bayochi;F;03/11/77;100;101;B;12;3;1.739;154;70;0
91;257418491-21;Heráclito Gruginsky;Masc.;20/06/75;100;101;A;4;7;1.136;165;95;0
92;270346511-40;Suzana V. Morita;F;20/11/58;100;101;A;4;11;1.128;156;85;0
93;837942307-01;Amauri Gomes Lopes;M;02/11/69;100;101;C;16;9;8.188;166;68;0
94;656958548-73;Francisco Vieira Pinheiro;M;10/04/67;100;101;C;17;15;8.958;164;72;1
95;060321213-13;Clarice L. Miranda;F;09/12/84;100;101;A;4;4;1.061;149;70;0
96;442526785-01;Herval M. Werneck;M;31/10/66;100;101;C;16;12;8.381;169;88;1
97;300635503-26;Gilberto Marques Arantes;M;29/12/70;100;101;D;12;6;4.527;178;75;1
98;237736979-02;Amauri Andrade;Masc.;02/05/69;100;101;D;13;16;4.674;192;89;1
99;954406954-27;Heleno Machado;M;19/12/80;100;101;B;13;0;1.925;169;81;1
100;574314723-07;Lúcia M. Alves;F;05/12/66;100;101;A;6;8;1.037;161;51;0
101;747798570-66;Gilberto Gomes Gatty;M;08/09/69;100;101;A;4;7;1.099;180;87;0
102;849337290-00;Laércio Coutinho Bezerra;M;29/12/76;100;101;A;4;4;1.082;156;89;1
103;107380152-70;Juscelino L. Moura;M;14/12/54;100;101;D;12;26;6.686;183;83;0
104;088076085-02;Monalisa Vieira;F;22/09/57;100;101;B;12;0;1.857;165;63;0
105;828822166-10;Mônica Torres Fozxy;F;24/02/61;100;101;C;16;11;8.903;147;68;1
106;424612965-88;Doralice Souza;F;28/12/76;100;101;E;16;11;3.038;163;58;0
107;593788217-23;Kátia Lemos;F;06/10/75;100;101;E;18;7;3.110;163;70;0
108;509714010-98;Neide P. Iawata;F;25/10/72;100;101;C;16;4;6.761;168;61;0
109;354418142-84;Leonardo M. Torres;M;01/12/70;100;101;B;12;7;2.082;172;71;1
110;844510177-34;Neyde Heckmann Gatty;F;01/02/74;100;101;E;16;6;3.389;140;60;1
111;376813921-22;Ivone A. Holtz;F;15/06/66;100;101;A;4;10;1.163;154;79;0
112;228288630-50;Otílio Lourenço Silva;Masc.;24/05/72;100;101;D;13;9;5.629;173;80;0
113;815141252-69;Alcides Gomes Santos;M;09/06/66;100;101;D;12;11;6.098;199;95;1
114;633037568-21;Cantídio Aroeira Uema;M;19/10/75;100;101;D;12;12;5.383;191;83;0
115;209667354-20;Victor Reis;Masc.;28/04/47;100;101;A;4;26;1.271;174;93;0
116;863914854-61;Rodrigo S. Coutinho;M;15/07/66;100;101;A;4;16;1.224;167;100;0
117;555823204-82;Eufrásio Pontes;M;29/09/60;100;101;A;7;17;1.169;156;109;1
118;830250667-25;Laércio M. Furkin;M;13/06/65;100;101;D;12;18;6.154;175;83;0
119;347188507-20;Mônica Kalil Aramizoni;F;22/06/78;100;101;A;4;3;1.004;154;55;0
120;368309182-78;Ana Cunha Moraes;F;11/09/61;100;101;D;12;18;6.730;171;66;0
121;542674282-04;Oscar P. Gruginsky;M;22/08/57;100;101;A;4;24;1.286;165;85;1
122;284702176-07;Lourdes Sá;F;03/07/71;100;101;A;4;9;1.173;160;73;1
123;403841166-47;Karla Miranda Gruginsky;F;08/01/81;100;101;C;17;8;7.890;160;77;1
124;246423841-46;Cláudio R. Iawata;Masc.;22/08/46;100;101;A;4;0;924;147;86;1
125;735500404-23;Gervásio K. Lourenço;M;18/12/63;100;101;A;4;9;1.146;173;74;0
126;830776522;Ivone Mendes;F;30/04/51;100;101;B;12;12;2.071;156;74;1
127;884327104-07;Jânio Gonçalves Aguiar;M;27/07/73;100;101;A;4;11;1.158;169;71;1
128;513040509-98;Monalisa Duarte;F;17/08/67;100;101;A;5;15;1.126;158;78;1
129;545162735-51;Herval L. Yamamoto;M;17/10/56;100;101;D;12;15;5.555;191;91;1
130;985848858-03;Dirceu Soares Moraes;M;27/05/50;100;101;C;16;27;6.983;167;72;1
131;921791598-03;Mauro L. Toguchi;M;06/12/70;100;101;A;4;11;1.058;172;96;0
132;119825144-18;Izabel Lopes;F;22/04/68;100;101;A;4;11;1.059;146;63;1
133;051031329-90;Manoel P. Rigoni;M;18/09/77;100;101;A;4;4;1.077;191;88;1
134;265854621-14;Fabiana Campos;F;08/10/52;100;101;C;16;24;10.273;179;60;1
135;644180081-01;Patrícia Barros Warwasky;F;08/02/64;100;101;C;16;12;5.437;151;62;1
136;824017458-23;Marco Gomes Guimarães;M;24/07/66;100;101;D;12;8;5.337;200;78;1
137;163962068-03;Neyde A. Queiroga;F;26/02/78;100;101;C;18;10;8.007;148;63;1
138;103104239-37;David M. Werneck;M;16/08/79;100;101;C;16;8;7.605;187;74;1
139;276957623-26;Manoel R. Fozxy;Masc.;30/04/68;100;101;B;12;17;2.197;156;72;0
140;456559490-08;Roberto Araújo;M;20/02/68;100;101;A;4;10;1.138;159;84;0
141;019180541-69;Juliana A. Aramizoni;Fem.;03/01/59;100;101;B;13;20;2.567;161;53;0
142;436804615-34;Reinaldo Soares;M;10/12/77;100;101;C;21;3;6.809;188;72;1
143;85303067165;Teutônio Leite Bezerra;M;25/04/79;100;101;C;19;2;8.247;176;84;0
144;749459936-37;Eufrásia Marques Holtz;F;03/07/56;100;101;A;4;15;1.067;170;77;0
145;012091643-61;Hugo T. Kalil;M;28/03/75;100;101;A;5;9;1.011;150;80;1
146;130766234-00;Dagoberto Pitanga Silva;M;06/01/66;100;101;C;16;15;8.441;165;83;0
147;157415589-09;Giovanna L. Novelli;F;22/07/67;100;101;C;19;12;9.439;152;61;0
148;627320855-70;Francisco Machado;M;19/10/67;100;101;B;12;16;2.459;184;89;0
149;621547563-79;Jorge Leite Heckmann;M;08/07/68;100;101;C;16;16;6.648;171;65;0
150;584496552-34;Marcondes M. Toguchi;M;01/02/68;100;101;D;12;15;6.040;189;81;1
151;792009725-86;Luciana R. Cunha;F;04/03/80;100;101;A;4;2;1.013;154;66;1
152;385760346-11;Zélia Barros Pitanga;F;30/09/71;100;101;C;18;8;7.454;153;53;1
153;290870986-42;Eufrásio Ferraz;Masc.;14/12/69;100;101;A;4;16;1.108;175;85;0
154;666573651-28;Dorotéia Pitanga Torelli;F;25/01/61;100;101;A;4;8;1.096;154;73;1
155;906093326-51;Carmen Lima Santana;F;29/12/59;100;101;B;12;18;2.242;162;71;1
156;629694428-41;Florinda Lopes;F;26/08/73;100;101;A;4;9;1.091;159;57;0
157;803918284-01;Diógenes S. Faraggi;M;18/01/81;100;101;A;7;8;1.110;173;85;0
158;135265197-14;Getúlio Pitanga;M;14/06/67;100;101;D;12;15;5.038;182;82;1
159;268370894-71;Glória M. Faraggi;F;16/01/61;100;101;A;4;9;1.169;165;73;0
160;936980253-37;Valdir G. Bayochi;M;30/01/65;100;101;C;16;19;8.691;174;72;1
161;873813036-04;João Andrade;M;06/07/73;100;101;A;4;9;1.004;163;93;0
162;235832817-05;Carina Cordeiro Bayochi;F;24/07/77;100;101;C;16;6;7.736;174;70;0
163;257795979-60;Fábio L. Furkin;Masc.;01/06/74;100;101;D;12;11;5.438;180;71;0
164;832247480-60;Marcondes C. Pereira;M;04/07/70;100;101;D;12;9;4.509;174;79;0
165;408593490-20;David C. Gruginsky;M;16/03/81;100;101;B;12;3;2.225;176;58;0
166;262098869-14;Tatiana Torelli Ledesma;F;24/10/85;100;101;A;4;5;948;164;71;1
167;467133469-01;Teresa R. Novelli;F;11/10/73;100;101;B;12;8;2.163;166;69;0
168;896239785-45;Eleno R. Souza;M;21/09/55;100;101;D;12;14;6.839;185;94;1
169;888643457-01;Isabel Ferraz Machado;F;27/01/73;100;101;E;19;9;3.576;156;57;1
170;091352991-50;Dirceu L. Gruginsky;M;08/05/62;100;101;D;12;16;6.352;194;93;0
171;743549454-28;Dolores Melo;F;17/01/74;100;101;E;16;4;2.958;171;58;0
172;177404624-54;Priscilla Novaes Macieira;F;27/07/71;100;101;B;12;14;2.635;153;77;0
173;775324274-12;Fábia Fonseca Coutinho;F;17/02/73;100;101;A;4;11;1.138;170;82;1
174;453326408-54;Karla C. Aramizoni;F;18/10/66;100;101;A;4;12;1.157;152;68;0
175;935993476-38;Getúlio A. Iawata;M;23/02/66;100;101;A;4;13;1.163;165;90;0
176;415047687-01;Romário C. Santos;M;22/10/71;100;101;C;16;14;8.458;152;67;1
177;598279120-20;Américo B. Rodrigues;M;01/10/69;100;101;A;5;12;1.060;165;74;1
178;867681493-77;Marciano M. Maia;M;02/02/70;100;101;A;4;7;1.047;167;68;1
179;586021536-35;Benedita Barbosa Sampaio;F;07/02/57;100;101;A;4;19;1.150;161;58;0
180;025616040-63;Otília Macieira;Fem.;08/05/62;100;101;C;16;16;6.683;155;78;1
181;179178136-57;Berenice F. Verdinn;F;29/11/64;100;101;B;12;0;2.014;162;71;1
182;772375196-62;Cantídio M. Zarin;M;13/07/65;100;101;D;12;14;6.260;191;82;0
183;149738665-98;Petrônio Campos Longhini;Masc.;23/04/71;100;101;A;4;6;1.078;166;85;0
184;124752878-29;Florinda Zarin;F;18/07/75;100;101;B;12;7;2.096;171;71;0
185;968519545-59;Teresa D. Nakano;F;05/08/80;100;101;C;18;6;7.368;162;50;0
186;989440004-33;Guilherme Moraes Saldanha;M;28/10/55;100;101;C;20;21;9.702;182;97;1
187;693080965-90;Mariana Pontes Saldanha;F;09/04/74;100;101;C;16;9;8.895;169;69;0
188;952372663-39;Herval N. Warwasky;M;17/09/70;100;101;C;17;0;5.919;181;84;1
189;413360095-94;Eva Rodrigues Castro;F;26/04/61;100;101;E;17;9;2.981;167;67;0
190;666722480-21;Pedro L. Trentti;M;27/05/59;100;101;A;4;16;1.215;176;96;0
191;831757295-17;Getúlio Marques;M;13/07/62;100;101;B;12;15;2.236;179;76;1
192;745914043-07;Luciana L. Costa;F;20/09/56;100;101;B;12;22;2.291;162;58;0
193;956311333-00;Petrônio L. Souza;M;21/10/57;100;101;B;13;14;2.392;177;84;0
194;608414067-07;Aurélio Maia Rodrigues;M;28/07/68;100;101;C;16;13;7.850;176;82;1
195;003620863-97;Fabiana Santana;Fem.;02/02/70;100;101;A;4;16;1.240;151;68;1
196;249339297-34;Marcílio L. Lemos;Masc.;26/08/60;100;101;B;14;15;2.527;173;95;1
197;790451503-28;Reinaldo Werneck Longhini;M;19/10/75;100;101;A;4;5;1.089;166;70;1
198;495203277-97;Jorge C. Moura;M;14/12/57;100;101;B;12;22;2.266;168;91;1
199;161013523-74;Elizabeth P. Schineider;F;29/12/68;100;101;C;16;7;7.635;143;70;1
200;627969950-11;Dirceu V. Barbosa;M;30/05/70;100;101;B;12;14;2.396;173;76;1
201;860534746-57;Alexandre P. Ledesma;M;23/02/51;100;101;D;12;15;5.731;188;91;1
202;452567999-91;Manuel Novaes;M;11/01/65;100;101;D;12;13;5.839;197;84;1
203;101955432-03;Donizeti F. Sá;M;22/11/49;100;101;B;12;17;2.250;165;99;0
204;802732704-00;Pedro Cordeiro Zarin;M;25/09/56;100;101;D;12;11;5.428;184;82;1
205;650967-32;Cleide T. Moura;F;09/02/73;100;101;A;4;6;1.049;171;85;0
206;628806628-18;Cícero Saldanha Pinto;M;06/01/76;100;101;B;12;11;2.209;176;88;1
207;484580594-44;Diana Seixas;F;26/05/59;100;101;C;16;11;7.212;160;55;0
208;764571028-40;Ivo Sampaio Bayochi;M;28/01/73;100;101;C;16;13;9.179;179;77;0
209;230749082-54;Eufrásia S. Cruz;F;11/06/72;100;101;A;4;9;1.157;162;68;1
210;796695258-45;Marcílio F. Morbick;M;27/12/61;100;101;B;15;19;2.290;181;103;1
211;340309306-97;Nilo Mesquita Iawata;M;19/11/65;100;101;D;14;7;5.025;182;89;0
212;676700312-39;Kátia M. Duarte;F;11/04/62;100;101;A;8;19;1.247;158;62;1
213;028401743-40;Joana S. Bezerra;Fem.;08/08/57;100;101;A;4;12;1.067;159;70;0
214;269914059-73;Otília C. Camargo;F;05/10/61;100;101;C;16;17;7.891;176;65;0
215;792192170-15;Romário Melo Nakano;M;01/11/75;100;101;D;12;6;5.123;197;85;0
216;216045666-71;Marília B. Santos;F;23/07/62;100;101;C;16;0;6.121;146;72;0
217;747754843-89;Renato S. Ledesma;M;26/05/69;100;101;A;9;11;1.078;175;98;1
218;319499595-20;Alexandre D. Longhini;M;26/06/57;100;101;A;4;13;1.157;182;109;0
219;645075423-08;Dirceu V. Mendes;M;18/02/76;100;101;D;12;8;4.391;184;88;0
220;645466374-46;Sebastião Torres;M;02/10/58;100;101;C;16;21;6.931;164;66;1
221;368880780-43;Ivone M. Moraes;F;05/01/65;100;101;A;4;11;1.060;159;81;0
222;368656787-37;Cícero S. Campos;M;04/02/49;100;101;C;16;26;10.312;145;86;1
223;620915750-54;Izabel Santana;F;10/12/71;100;101;B;12;12;2.131;155;63;0
224;787598270-76;Clotilde Arantes Verdinn;F;25/03/59;100;101;B;12;11;2.273;172;62;0
225;342620801-61;Jorge Pinto Yamamoto;M;08/06/57;100;101;C;16;10;7.245;159;74;0
226;924432909-30;Luis Pinto Verdinn;M;27/12/72;100;101;B;12;0;2.089;189;92;1
227;276002128-97;Renato Schineider Kalil;Masc.;12/11/58;100;101;B;12;20;2.359;161;86;1
228;710596690-48;Ivone C. Schineider;F;02/07/70;100;101;C;16;0;7.100;166;62;0
229;608709528-46;Cleide L. Haddad;F;04/06/51;100;101;B;13;11;2.330;169;70;0
230;616767739-59;Amélia C. Mesquita;F;21/03/70;100;101;A;4;6;1.028;145;69;1
231;433161176-01;Cantídio S. Heckmann;M;22/12/66;100;101;D;12;18;6.064;176;77;1
232;746587154-90;Olívia Campos Aramizoni;F;27/08/69;100;101;B;12;8;2.177;148;64;1
233;086946781-60;Dirce Costa;F;03/02/60;100;101;B;12;13;2.475;150;71;1
234;222222222-22;Mauro Bezerra Ledesma;Masc.;04/10/76;100;101;A;4;4;1.025;170;85;0
235;891052612-28;Zélia Mendes Machado;F;22/10/73;100;101;B;17;13;2.262;160;67;1
236;160063831-79;Amaro Sá Gruginsky;Masc.;25/05/67;100;101;B;12;6;2.474;170;76;1
237;085169956-15;Juvenal Barbosa Moraes;M;22/03/60;100;101;A;4;12;1.098;185;91;0
238;588302718-02;Samuel C. Weltsel;M;15/10/72;100;101;A;5;9;1.116;170;104;0
239;331440320-85;Priscilla Torres;F;06/04/62;100;101;A;4;15;1.197;151;63;1
240;709278305-40;Miguel Mesquita;M;01/01/05;100;101;A;5;20;1.257;178;101;0
241;216339733-52;Josué T. Morbick;Masc.;17/01/69;100;101;D;13;11;5.558;177;82;1
242;596429119-81;Fábia Oliveira;F;12/04/76;100;101;C;16;7;6.879;168;52;0
243;175263724-07;Herval Sampaio Rigoni;Masc.;09/10/80;100;101;D;12;2;4.400;199;85;1
244;826292182-87;Paula C. Yamamoto;F;26/02/87;100;101;D;12;4;5.127;173;59;0
245;192407974-75;Giovana G. Torelli;F;25/08/75;100;101;E;17;7;2.661;153;56;0
246;024648161-75;Marcos Cruz Toguchi;M;24/09/58;100;101;D;12;11;5.300;194;85;1
247;036031768-55;Josué Medeiros Mancini;M;12/03/78;100;101;C;16;4;7.562;162;59;1
248;646856168-04;Fernanda P. Haddad;F;08/10/75;100;101;C;16;10;9.070;154;65;0
249;098935348-60;Fábio Vieira Nakano;M;04/10/72;100;101;D;12;8;4.668;184;79;0
250;373041224-80;Fábio Gonçalves;M;25/01/66;100;101;B;12;11;2.161;162;77;0
251;353160954-80;Eustáquio M. Leal;M;02/01/79;100;101;A;4;8;1.143;172;108;1
252;038886122-33;Gino C. Oliveira;M;29/09/70;100;101;C;17;5;8.660;173;76;1
253;957081053-05;Florinda L. Cordeiro;F;31/08/74;100;101;D;13;4;5.304;181;69;0
254;858431734-10;Gino C. Pitanga;M;23/12/77;100;101;D;12;6;5.844;193;70;1
255;822978703-45;Elizabeth Lourenço Duarte;F;12/01/73;100;101;B;12;14;2.352;161;61;0
256;207931423-85;Patrícia S. Sasaky;F;27/02/68;100;101;A;4;12;1.126;165;58;1
257;454962349-72;Priscila Moura Zainne;F;10/01/56;100;101;B;12;17;2.068;163;79;1
258;886183678-00;Felipe B. Soares;M;29/04/59;100;101;D;15;18;5.375;175;83;1
259;570678326-75;Valdir Cruz;M;26/10/59;100;101;C;17;17;8.294;164;70;0
260;317971816-10;Vera Sampaio Longhini;F;19/01/72;100;101;A;4;13;1.059;159;65;1
261;128659944-06;Eva Cruz;F;16/12/66;100;101;A;4;14;1.222;157;70;1
262;721220031-03;Victor B. Mota;M;22/08/69;100;101;A;8;11;1.116;168;53;0
263;736278854-14;Carlos Lourenço;M;27/11/59;100;101;C;17;13;6.731;172;61;1
264;594040532-01;Gertrudes Silva Marques;F;10/09/75;100;101;A;4;3;1.073;153;74;1
265;035056064-13;Petrônio N. Gomes;M;11/01/65;100;101;D;12;14;4.775;189;88;0
266;412173935-36;Fernanda R. Trentti;F;12/09/76;100;101;A;4;0;1.033;159;66;0
267;897604304-95;Renato D. Queiroga;M;30/11/54;100;101;D;13;21;6.463;197;88;0
268;643666492-09;Leonardo Oliveira;M;11/04/76;100;101;A;4;12;1.136;162;94;1
269;693785573-76;Ana Coutinho Fozxy;F;03/11/63;100;101;B;12;8;2.220;156;68;0
270;990384307-01;Abílio Santana;M;07/04/71;100;101;A;6;8;1.002;173;89;1
271;037992708-09;Abílio G. Fozxy;M;09/04/69;100;101;D;14;0;6.012;190;90;1
272;219077791-75;Carlos Aguiar;Masc.;17/03/72;100;101;A;5;13;1.146;175;76;0
273;327403527-00;Elizabeth Cunha Schineider;F;10/04/56;100;101;A;5;10;1.171;140;64;0
274;309204257-39;Madalena S. Morbick;F;10/01/55;100;101;C;17;23;9.577;159;59;0
275;643514259-97;Lúcio Alves Pereira;M;17/05/63;100;101;A;4;18;1.208;191;101;1
276;872509936-15;Valter S. Gouveia;M;10/02/68;100;101;B;12;10;2.242;162;92;1
277;485812417-78;Marli M. Morbick;F;20/06/64;100;101;B;12;8;2.276;167;67;1
278;719028702-71;Ana Saldanha Gatty;F;26/10/66;100;101;A;4;9;1.072;152;70;0
279;937157548-42;Glória S. Vieira;F;24/03/80;100;101;D;12;6;5.861;172;72;0
280;380977910-56;Marlene Fonseca;M;16/03/61;100;101;C;17;17;8.069;167;71;0
281;232117423-44;Luciano Gouveia Castro;Masc.;03/09/69;100;101;B;12;5;1.965;170;91;1
282;789882953-07;Gilberto Ramos Souza;M;16/12/64;100;101;B;12;11;2.152;182;87;0
283;188068161-24;Zélia A. Zainne;F;28/01/70;100;101;A;6;11;1.102;152;68;1
284;169074868-06;Diana Camargo Aguiar;F;08/01/76;100;101;A;4;9;1.144;156;65;1
285;748446880-06;Marlene Vieira;F;02/03/80;100;101;A;6;8;1.005;159;73;0
286;775604787-78;Monalisa S. Souza;F;11/12/77;100;101;A;4;7;1.075;163;75;1
287;553786813-08;Dirce C. Oliveira;F;12/12/68;100;101;B;12;12;2.220;154;66;0
288;856102249-34;Sebastião Gouveia;M;01/01/02;100;101;B;12;11;2.410;177;75;1
